Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
1, 6, 1, -0.0273, 0.4355, 0, 0, 6689, 38, 
1, 6, 2, -0.2363, 2.5195, 0, 0, 468, 27, 
1, 6, 3, 0.6699, 10.7109, 0, 0, 51, 17, 
1, 6, 4, -10.7773, 2.7598, 0, 0, 45, 17, 
1, 6, 5, -10.0625, 3.7344, 0, 0, 43, 16, 
1, 6, 6, -0.6953, 11.1035, 0, 0, 44, 17, 
2, 6, 1, -0.0273, 0.4355, 0, 0, 6674, 38, 
2, 6, 2, -0.2363, 2.5195, 0, 0, 511, 27, 
2, 6, 3, 0.6699, 10.7109, 0, 0, 50, 17, 
2, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
2, 6, 5, -10.0625, 3.7344, 0, 0, 41, 16, 
2, 6, 6, -10.4297, 3.8711, 0, 0, 43, 16, 
3, 6, 1, -0.0273, 0.4355, 0, 0, 6621, 38, 
3, 6, 2, -0.3164, 2.5098, 0, 0, 521, 27, 
3, 6, 3, 0.6699, 10.7109, 0, 0, 50, 17, 
3, 6, 4, -0.6953, 11.1035, 0, 0, 43, 16, 
3, 6, 5, -10.0625, 3.7344, 0, 0, 41, 16, 
3, 6, 6, -10.4297, 3.8711, 0, 0, 42, 16, 
4, 6, 1, -0.0273, 0.4355, 0, 0, 6608, 38, 
4, 6, 2, -0.3164, 2.5098, 0, 0, 518, 27, 
4, 6, 3, 0.6699, 10.7109, 0, 0, 50, 17, 
4, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
4, 6, 5, -10.0625, 3.7344, 0, 0, 41, 16, 
4, 6, 6, -10.4297, 3.8711, 0, 0, 43, 16, 
5, 6, 1, -0.0273, 0.4355, 0, 0, 6570, 38, 
5, 6, 2, -0.3164, 2.5098, 0, 0, 507, 27, 
5, 6, 3, 0.6699, 10.7109, 0, 0, 50, 17, 
5, 6, 4, -0.6953, 11.1035, 0, 0, 46, 17, 
5, 6, 5, -10.0625, 3.7344, 0, 0, 41, 16, 
5, 6, 6, -10.4297, 3.8711, 0, 0, 43, 16, 
6, 6, 1, -0.0273, 0.4355, 0, 0, 6582, 38, 
6, 6, 2, -0.3164, 2.5098, 0, 0, 504, 27, 
6, 6, 3, 0.6699, 10.7109, 0, 0, 50, 17, 
6, 6, 4, -0.6953, 11.1035, 0, 0, 46, 17, 
6, 6, 5, -10.0625, 3.7344, 0, 0, 41, 16, 
6, 6, 6, -10.4297, 3.8711, 0, 0, 42, 16, 
7, 6, 1, -0.0273, 0.4355, 0, 0, 6628, 38, 
7, 6, 2, -0.3164, 2.5098, 0, 0, 535, 27, 
7, 6, 3, 0.6699, 10.7109, 0, 0, 49, 17, 
7, 6, 4, -0.6953, 11.1035, 0, 0, 47, 17, 
7, 6, 5, -10.0625, 3.7344, 0, 0, 40, 16, 
7, 6, 6, -10.4297, 3.8711, 0, 0, 43, 16, 
8, 6, 1, -0.0273, 0.4355, 0, 0, 6629, 38, 
8, 6, 2, -0.3164, 2.5098, 0, 0, 524, 27, 
8, 6, 3, 0.6699, 10.7109, 0, 0, 50, 17, 
8, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
8, 6, 5, -10.0625, 3.7344, 0, 0, 40, 16, 
8, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
9, 6, 1, -0.0273, 0.4355, 0, 0, 6601, 38, 
