Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log),
1, 5, 1, 0.4863, 0.7754, 0, 0, 433, 26, 
1, 5, 2, -0.0762, 2.4414, 0, 0, 188, 23, 
1, 5, 3, 1.9629, 2.4512, 0, 0, 361, 26, 
1, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
1, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
2, 6, 1, 0.4863, 0.7754, 0, 0, 420, 26, 
2, 6, 2, 0.5098, 0.8125, 0, 0, 422, 26, 
2, 6, 3, -0.0762, 2.4414, 0, 0, 188, 23, 
2, 6, 4, 1.9629, 2.4512, 0, 0, 361, 26, 
2, 6, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
2, 6, 6, 4.3281, 3.459, 0, 0, 21, 13, 
3, 5, 1, 0.5098, 0.8125, 0, 0, 418, 26, 
3, 5, 2, -0.0762, 2.4414, 0, 0, 188, 23, 
3, 5, 3, 1.9629, 2.4512, 0, 0, 355, 26, 
3, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
3, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
4, 5, 1, 0.5098, 0.8125, 0, 0, 417, 26, 
4, 5, 2, -0.0762, 2.4414, 0, 0, 193, 23, 
4, 5, 3, 1.9629, 2.4512, 0, 0, 354, 26, 
4, 5, 4, 4.3281, 3.459, 0, 0, 20, 13, 
4, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
5, 6, 1, -0.1738, 0.3027, 0, 0, 560, 27, 
5, 6, 2, 0.4863, 0.7754, 0, 0, 420, 26, 
5, 6, 3, -0.0762, 2.4414, 0, 0, 195, 23, 
5, 6, 4, 1.9629, 2.4512, 0, 0, 352, 25, 
5, 6, 5, 4.3281, 3.459, 0, 0, 21, 13, 
5, 6, 6, -0.5195, 5.5156, 0, 0, 21, 13, 
6, 5, 1, 0.5098, 0.8125, 0, 0, 422, 26, 
6, 5, 2, -0.0762, 2.4414, 0, 0, 193, 23, 
6, 5, 3, 1.9629, 2.4512, 0, 0, 355, 26, 
6, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
6, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
7, 6, 1, -0.1738, 0.3027, 0, 0, 555, 27, 
7, 6, 2, 0.4863, 0.7754, 0, 0, 429, 26, 
7, 6, 3, -0.0762, 2.4414, 0, 0, 194, 23, 
7, 6, 4, 1.9629, 2.4512, 0, 0, 350, 25, 
7, 6, 5, 4.3281, 3.459, 0, 0, 21, 13, 
7, 6, 6, -0.5195, 5.5156, 0, 0, 21, 13, 
8, 6, 1, -0.1738, 0.3027, 0, 0, 533, 27, 
8, 6, 2, 0.4863, 0.7754, 0, 0, 426, 26, 
8, 6, 3, -0.0762, 2.4414, 0, 0, 197, 23, 
8, 6, 4, 1.9629, 2.4512, 0, 0, 338, 25, 
8, 6, 5, 4.3281, 3.459, 0, 0, 21, 13, 
8, 6, 6, -0.5195, 5.5156, 0, 0, 21, 13, 
9, 6, 1, -0.1738, 0.3027, 0, 0, 513, 27, 
9, 6, 2, 0.5098, 0.8125, 0, 0, 425, 26, 
9, 6, 3, -0.0762, 2.4414, 0, 0, 201, 23, 
9, 6, 4, 1.9629, 2.4512, 0, 0, 338, 25, 
